node,ae_score,if_score,lof_score,ae_norm,if_norm,lof_norm,combined_score,label
6,0.0031167785591457225,0.4888671243283638,-0.19699161630927953,4.8576394115141324e-05,0.3225075863741813,0.35654774842682163,0.20373603099794693,0
13,0.0014644574597645445,0.4070986152678405,-0.5154932924892961,2.270030928492489e-05,0.09751160561582575,0.03054667529000152,0.03842656439546215,0
10,5.386197644061357e-05,0.42681535903643536,-0.377655977470744,6.097553355258819e-07,0.1517646200408854,0.17162948889801743,0.09701847658380505,0
15,0.0016009472563688555,0.5653676218660999,-0.37048342396840783,2.4837800331135497e-05,0.5330079938019958,0.17897092636527667,0.21360361117031418,0
5,6.17028107891704e-05,0.44089861823727067,-0.48584940689744394,7.325462959626378e-07,0.190516417677561,0.06088855176234662,0.07542178385049067,0
10,1.030202529168418,0.49797736179164925,-0.4468043272067501,0.016133197004858157,0.34757551089113964,0.10085298156548708,0.1409818265389313,1
1,0.00032845306431944146,0.410660973008408,-0.4842292080839645,4.909974152700726e-06,0.10731386546940617,0.06254689955575278,0.050960193497208775,0
10,0.00044699531777413,0.4133560302961998,-0.48302495413267765,6.766398674246407e-06,0.11472964282224797,0.06377950870606346,0.05355545201796312,0
1,0.0001504484813871986,0.3937851778350484,-0.5123378344340171,2.1223430500978112e-06,0.060878066043288305,0.03377643132958277,0.02839719814908136,0
13,0.0005736323397088367,0.43038692701514425,-0.4280847491436355,8.749590877902037e-06,0.16159222298299047,0.12001332825639326,0.08448516520816626,0
5,0.00022343118074331282,0.411719728852246,-0.434506257820918,3.2652846492726154e-06,0.11022716072457163,0.11344061961303807,0.06710164021514262,0
5,0.0001052859073193229,0.3951779635008203,-0.4905988764566136,1.4150770119355216e-06,0.06471048491036799,0.05602725184176205,0.03622188705644379,0
18,0.000268942577415366,0.391754427678987,-0.5052751662168682,3.978013404881153e-06,0.055290210421510666,0.04100539616774124,0.02889027318213752,0
12,0.2021108450460054,0.4276951657955553,-0.4159143279600861,0.0031649121638708914,0.1541855151620071,0.1324703125145286,0.08726271316850906,1
15,0.00042492598702497807,0.42298537221813187,-0.4743536556502028,6.4207831187559925e-06,0.14122594628522314,0.07265498039802008,0.06416684631822046,0
4,0.0017499609304503676,0.5674710568887127,-0.4617462802843977,2.7171420880337182e-05,0.5387958506592603,0.08555920730189424,0.18731738595669847,0
16,0.00018478049011862258,0.42274654539060774,-0.5098124828262446,2.659997608076143e-06,0.14056878527167913,0.036361244521323534,0.05308007293694403,0
12,0.0005637677045945281,0.42489707320700365,-0.435021379963477,8.59510629549697e-06,0.14648622366889852,0.11291336847488125,0.07782331568565212,0
17,0.0002480343623129797,0.4103840172779455,-0.5147784302628319,3.6505814379103374e-06,0.1065517881499343,0.0312783695647927,0.04135050754699326,0
0,0.000378126912307493,0.48199444017632337,-0.4644869829468399,5.687888751057842e-06,0.30359656146988484,0.08275397242896972,0.1159074353251568,0
9,5.656899873247072e-05,0.42432163906650877,-0.49076692059076654,6.521485110942484e-07,0.1449028467639013,0.055855250963382855,0.060227690177589686,0
12,0.0003450737593214274,0.39819030957793133,-0.41489915124586796,5.170261644018009e-06,0.07299932089124071,0.13350939244097637,0.06195468210432273,0
3,0.0004080025178136391,0.42164721625271206,-0.49075703032739204,6.155754048378468e-06,0.13754384767163072,0.05586537410154766,0.05802522883357286,0
16,0.002925989413308291,0.42078875026598034,-0.4550987845710057,4.55885510595616e-05,0.1351816742768654,0.09236322404123898,0.06828170491585514,0
12,0.00011319871215831451,0.42897979082018406,-0.4520917306684089,1.5389950623286184e-06,0.1577203168924525,0.09544108162423254,0.07594903515303045,0
14,0.00018666333868639335,0.3946423808340334,-0.45888371352533364,2.6894838558038608e-06,0.06323676417392046,0.08848917566681182,0.045518857745762004,0
2,0.00012249248764609926,0.40553553192459196,-0.4868419157204362,1.6845397285590325e-06,0.09321059201215409,0.059872673462194846,0.0459256534581961,0
11,0.00021220779116237857,0.3961963124767121,-0.48484620291121994,3.0895213663443833e-06,0.06751259576230309,0.0619153770525825,0.03882962765301222,0
3,0.00015775675747444772,0.4142040161835728,-0.469484905109385,2.2367939108095247e-06,0.11706297895116664,0.07763836987395172,0.058411299365099825,0
11,0.0006170519008730002,0.4185495843096626,-0.46578699695567227,9.429560557158355e-06,0.12902033727548354,0.08142334846788034,0.06313687754723202,0
3,0.00033917421131133483,0.402287737913748,-0.44368979916894635,5.077872092842839e-06,0.08427389245425862,0.10404084385499313,0.05649645204161266,0
16,0.00040516954786667996,0.39624451766109325,-0.5017966926531301,6.111388476398286e-06,0.06764523818005153,0.04456577339481665,0.03366574802785101,0
13,0.0006883159265305867,0.4094157248917937,-0.4535862696005448,1.0545586960227982e-05,0.10388741408238442,0.0939113524825696,0.05934384820427029,0
10,5.645637097828327e-05,0.4292916412958815,-0.46355802002622637,6.503847102672284e-07,0.15857841134024986,0.08370480858360632,0.07268522613104096,0
2,0.0015392283332512841,0.5168876210577408,-0.5303472137047984,2.3871254487946784e-05,0.3996093852867188,0.01534300567475395,0.12449526579023698,0
11,0.0005030155205339515,0.4281950065026361,-0.40746425376293893,7.643700016801411e-06,0.15556088755664566,0.14111935100435669,0.08900712904830743,0
15,0.0013662105039813825,0.40547750188792314,-0.4557237904237066,2.116171817021496e-05,0.09305091532043307,0.0917235018861125,0.05544078984923176,0
16,0.00020389994676295033,0.4292274441240975,-0.4833726203323203,2.9594168203718386e-06,0.15840176502746514,0.0634236564055787,0.0665488101966413,0
5,0.0006540579230732248,0.4951761735501106,-0.47804681408198824,1.0009091357824467e-05,0.3398677013329727,0.06887486336232242,0.12262677304513167,0
2,0.00028310051982772725,0.46667264768866773,-0.5191365164970737,4.199733093034251e-06,0.2614367891156594,0.026817668427437807,0.08647801715616636,0
10,0.000163836403368039,0.3912196784950254,-0.47968247664963304,2.33200387510712e-06,0.053818783114255885,0.0672006877073078,0.03630677404801915,0
3,0.0007630493456188996,0.49482259740169926,-0.4657925088378734,1.171594561067767e-05,0.33889479363050146,0.08141770680365391,0.1260984365084909,0
0,0.00016595817080021063,0.4197498338602377,-0.5043553437890458,2.36523169873379e-06,0.13232296964446227,0.04194687660879216,0.052281899968655815,0
8,0.1998276529968802,0.4435181568189067,-0.4028857099354026,0.003129156358798278,0.1977243961411686,0.14580570059938106,0.1043106915656842,1
15,0.00015376011137542583,0.41717132796412065,-0.4869324380269948,2.1742046516556136e-06,0.12522789759712147,0.05978001972977228,0.05550324487992878,0
1,0.00019315617799409528,0.4296343348472475,-0.45203318998472075,2.79116461312033e-06,0.15952137425561974,0.09550100069886158,0.07650782895218963,0
12,0.00017004602776178734,0.403903245706971,-0.4496163530939139,2.429249360646578e-06,0.08871915829724879,0.09797474410093515,0.05600914241919944,0
9,0.0005315932888454924,0.5209844172520817,-0.47410145405125315,8.091240605228594e-06,0.4108822174357134,0.07291312030136535,0.1451418378173657,0
0,0.00032378811431641157,0.42528838338328245,-0.4286868698694519,4.836918956557356e-06,0.1475629611305955,0.11939703007822247,0.08008993213022801,0
18,0.001668882499581647,0.46805423386310957,-0.43855434232248824,2.590169651753289e-05,0.265238391222537,0.1092972194668029,0.112371043885409,0
3,3.3955186551860894,0.5330250740810605,-0.4748342636934251,0.05317510172303583,0.44401354663979203,0.07216305602346801,0.17612302148819234,1
17,0.0001549341312430708,0.38076710372291406,-0.5190710480702885,2.1925903260253943e-06,0.025057254509637455,0.026884678364856477,0.01558345689847859,0
8,0.00013537500699444945,0.380852896905709,-0.5087575129069594,1.8862857230934235e-06,0.025293324868839458,0.03744105461820874,0.018821068360403696,0
13,0.27494255029347564,0.4038812177623395,-0.3128497737576752,0.004305489128008597,0.08865854573303056,0.23796161063053517,0.09970824256027316,1
